Timestamp,File Name,File Size(Byte),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
105,114_6.jpg,54329,8.26658,20.1903,43.4632,71.92008,3.6950674112e-05,0.00012919253105446695
106,114_7.jpg,110237,8.68523,41.54563,88.1896,138.42046,7.497527033600001e-05,0.000227279972936213
107,114_8.jpg,55130,5.04965,16.16397,44.104,65.31762,3.749545664e-05,9.65631299238652e-05
108,115_0.jpg,8626,2.65456,17.02526,6.9008,26.58062,5.866784128000001e-06,8.96536391954869e-05
109,115_1.jpg,58968,5.39746,34.7531,47.1744,87.32495,4.0105787904e-05,0.0001818702111005783
110,115_2.jpg,1820,2.20507,27.09832,1.456,30.75939,1.2378329600000002e-06,0.00013300589898787438
111,115_3.jpg,43047,5.56745,40.6071,34.4376,80.61216,2.9277470016000002e-05,0.00020900713574960826
112,115_4.jpg,134330,10.0377,37.62978,107.464,155.13149,9.136159424000002e-05,0.00021573248731158673
113,115_5.jpg,108919,8.59406,25.41679,87.1352,121.14605,7.4078861632e-05,0.00015421206191442905
114,115_6.jpg,58319,8.53993,38.98371,46.6552,94.17883,3.9664384832000005e-05,0.00021508446243964134
115,115_7.jpg,116175,9.71622,48.04087,92.94,150.69709,7.901387040000001e-05,0.0002611841299466789
116,115_8.jpg,55739,5.66494,16.73549,44.5912,66.99163,3.7909654592e-05,0.00010190945888236164
117,116_0.jpg,6029,2.48828,44.78989,4.8232,52.10137,4.100491712e-06,0.00021397869186215102
118,116_1.jpg,1455,1.7267,10.7948,1.164,13.68549,9.895862400000003e-07,5.740681229792535e-05
119,116_10.jpg,1900,2.73007,47.36427,1.52,51.61434,1.2922432e-06,0.00022666496393717824
120,116_2.jpg,67271,6.93053,20.9964,53.8168,81.74373,4.5752890688000004e-05,0.00012680522479526697
121,116_3.jpg,887,1.76046,10.61067,0.7096,13.08072,6.03273536e-07,5.6729438351839776e-05
122,116_4.jpg,36845,6.29664,46.70788,29.476,82.48052,2.505931616e-05,0.00023977476595416663
123,116_5.jpg,132523,16.26321,30.22016,106.0184,152.50177,9.013260294400001e-05,0.00021039828522019088
124,116_6.jpg,113220,9.18599,26.97247,90.576,126.73445,7.700409216e-05,0.00016388660420440135
125,116_7.jpg,71023,9.82007,37.52678,56.8184,104.16525,4.8304730944000006e-05,0.00021428810842521488
126,116_8.jpg,103940,8.80813,44.90739,83.152,136.86752,7.069250432e-05,0.00024297765594422815
127,116_9.jpg,56066,5.67157,43.98077,44.8528,94.50514,3.8132056448e-05,0.00022467386493459343
