Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,transmission Time (ms),Latency(ms),Idle Cost (CNY),Trigger Cost(CNY)
1685003251.2081769,149.jpg,712862,2016x2016,1,8,0.41377,712.862,322.83592,3.632855941124878e-05,0.0010033409713745116
1685003252.6013892,150.jpg,698675,2016x2016,1,8,0.4146,698.675,326.73717,3.56424386114502e-05,0.0010154535512924194
1685003253.997932,151.jpg,661386,2016x2016,1,8,0.40528,661.386,319.6578,3.370015888773804e-05,0.0009934735454559325
1685003255.3943172,152.jpg,651775,2016x2016,1,9,0.40748,651.775,330.58023,3.319235975067139e-05,0.0010273855121612548
1685003256.795415,153.jpg,614586,2016x2016,1,10,0.39882,614.586,326.47514,3.136589696925049e-05,0.0010146400253295898
1685003258.196069,154.jpg,681051,2016x2016,1,9,0.45174,681.051,321.24805,3.470839419889526e-05,0.000998410959625244
1685003259.6079109,155.jpg,683281,2016x2016,1,10,0.45099,683.281,317.83009,3.4826547087750246e-05,0.0009877988502502441
1685003260.9814441,156.jpg,754214,2016x2016,1,10,0.48579,754.214,327.23927,3.841881286870117e-05,0.0010170125009536742
1685003262.392066,157.jpg,727040,2016x2016,1,10,0.47856,727.04,325.20795,3.7053767593414306e-05,0.0010107056390762329
1685003263.79349,158.jpg,801790,2016x2016,1,10,0.53157,801.79,333.55784,4.081922602923584e-05,0.001036630394554138
1685003265.196091,159.jpg,765978,2016x2016,1,10,0.52408,765.978,329.70881,3.90144619791626e-05,0.0010246799276351927
1685003266.585558,160.jpg,730746,2016x2016,1,10,0.49671,730.746,324.10383,3.720790172477417e-05,0.0010072775783538817
1685003267.9875681,161.jpg,810477,2016x2016,1,10,0.58234,810.477,342.22984,4.1393099901391604e-05,0.0010635552169799803
1685003269.4067469,162.jpg,848862,2016x2016,1,9,0.61544,848.862,336.24315,4.325016143990479e-05,0.0010449677402496337
1685003270.826358,163.jpg,801427,2016x2016,1,10,0.56802,801.427,352.97203,4.0814956275903325e-05,0.0010969075607299803
1685003272.267061,164.jpg,790612,2016x2016,2,10,0.26298,790.612,595.47091,4.0653006401452636e-05,0.0018498180667877197
1685003273.961421,165.jpg,785906,2016x2016,2,10,0.26025,785.906,574.48387,4.0173198059735106e-05,0.0017846575241088865
1685003275.635988,166.jpg,797114,2016x2016,2,10,0.25562,797.114,578.20988,4.1168786021166994e-05,0.0017962260261535643
1685003277.322438,167.jpg,734880,2016x2016,2,10,0.2451,734.88,590.25836,3.7895944184020996e-05,0.001833634155845642
1685003279.0113668,168.jpg,823085,2016x2016,1,10,0.52577,823.085,338.41586,4.1955478181427e-05,0.001051713565635681
1685003280.4349198,169.jpg,800445,2016x2016,1,10,0.49133,800.445,335.74224,4.081099810510254e-05,0.001043412491798401
1685003281.86144,170.jpg,824411,2016x2016,1,9,0.56804,824.411,344.769,4.203613758829956e-05,0.0010714387943267822
1685003283.299516,171.jpg,916267,2016x2016,2,9,0.31852,916.267,632.94005,4.701708341430054e-05,0.001966152279472351
1685003285.030019,172.jpg,769885,2016x2016,2,9,0.27053,769.885,594.64598,3.924274438381959e-05,0.0018472568294525145
1685003286.714441,173.jpg,770428,2016x2016,2,9,0.2688,770.428,592.78393,3.9337899756262205e-05,0.0018414755393981932
1685003288.3970711,174.jpg,695723,2016x2016,1,9,0.50999,695.723,339.61511,3.542207190967407e-05,0.0010554369829177857
1685003289.7926831,175.jpg,653668,2016x2016,1,9,0.43721,653.668,330.74903,3.329421663266602e-05,0.001027909603500366
1685003291.184903,176.jpg,723212,2016x2016,1,9,0.52383,723.212,326.02191,3.687755747078857e-05,0.0010132328252792358
1685003292.558319,177.jpg,723706,2016x2016,1,10,0.51976,723.706,333.41289,3.684279682819824e-05,0.0010361803274154663
1685003293.952944,178.jpg,779672,2016x2016,1,8,0.56305,779.672,360.07404,3.976415942312012e-05,0.0011189578895568846
1685003295.3871129,179.jpg,823757,2016x2016,1,10,0.5849,823.757,341.76707,4.200342307817993e-05,0.0010621184072494507
1685003296.800819,180.jpg,828570,2016x2016,1,9,0.6391,828.57,338.07588,4.224187975793457e-05,0.0010506579805374145
1685003298.200916,181.jpg,811042,2016x2016,2,10,0.2999,811.042,599.5388,4.131391120009766e-05,0.001862448075866699
1685003299.875268,182.jpg,646957,2016x2016,1,10,0.49049,646.957,319.77797,3.303569348162232e-05,0.0009938466274261473
1685003301.257091,183.jpg,676445,2016x2016,1,10,0.50887,676.445,341.15791,3.4509448442321774e-05,0.0010602270889282226
1685003302.6506119,184.jpg,726727,2016x2016,1,10,0.5326,726.727,332.2072,3.700185921688233e-05,0.0010324369235992432
1685003304.0439649,185.jpg,690652,2016x2016,1,9,0.49021,690.652,323.65704,3.521319033321534e-05,0.0010058903648376464
1685003305.4215481,186.jpg,659636,2016x2016,1,10,0.44806,659.636,322.78299,3.3620148848980715e-05,0.001003176637649536
1685003306.8035352,187.jpg,591836,2016x2016,1,10,0.40584,591.836,334.79285,3.0208101651409915e-05,0.0010404648481369017
1685003308.2030258,188.jpg,629332,2016x2016,1,10,0.41015,629.332,318.66813,3.211440029772339e-05,0.000990400800895691
1685003309.574065,189.jpg,671852,2016x2016,1,10,0.4278,671.852,322.62087,3.4208213943292236e-05,0.0010026732730865477
1685003310.950374,190.jpg,736959,2016x2016,1,10,0.47418,736.959,325.71602,3.757970813322754e-05,0.0010122830947875976
1685003312.341043,191.jpg,682700,2016x2016,1,10,0.43229,682.7,318.93086,3.481552679840088e-05,0.0009912165475845335
1685003313.720011,192.jpg,667900,2016x2016,1,10,0.41792,667.9,324.61596,3.40687131388855e-05,0.0010088676181793212
