Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,Bin Packing Time(ms),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
98.873151292,189.jpg,671852,1024x1024,3,10,0.55271,3.67429,81.07606,101.08781,537.4816,719.64547,0.00046006909229255653,0.0008216118097960948
99.986093875,190.jpg,736959,1024x1024,3,10,0.61263,2.21163,72.93792,97.74811,589.5672,760.25323,0.0005031066858620009,0.0007699064187832176
101.093880667,191.jpg,682700,1024x1024,3,10,0.55851,2.18863,68.51424,102.98272,546.16,717.65696,0.00046618406703000196,0.0007735595195010305
102.188249,192.jpg,667900,1024x1024,2,10,0.80993,1.62908,50.31404,67.1013,534.32,651.73534,0.00045564247240327787,0.0005299326138265431
103.221032125,193.jpg,526281,1024x1024,2,10,0.60509,1.78017,48.41865,68.81058,421.0248,538.25403,0.00035945187074472583,0.0005290942363683134
104.243031208,194.jpg,546749,1024x1024,2,9,0.64059,3.27204,44.65675,73.33911,437.3992,555.39506,0.0003746410630987131,0.0005325477314967662
105.270778542,195.jpg,577235,1024x1024,3,8,0.45762,2.37438,69.24869,100.35349,461.788,631.39018,0.00039461228473000197,0.0007650239000126719
106.358616958,196.jpg,588063,1024x1024,2,8,0.71926,1.809,57.08484,70.15669,470.4504,597.69193,0.0004014960515039953,0.0005741976526897401
107.395680542,197.jpg,530375,1024x1024,2,8,0.65668,1.80738,47.65865,70.02177,424.3,541.98042,0.00036225944593001083,0.000531126752576232
108.416549375,198.jpg,464899,1024x1024,2,8,0.59142,2.68129,46.02118,72.82294,371.9192,490.76332,0.0003184703542787126,0.0005363689910188317
109.427798083,199.jpg,470086,1024x1024,2,9,0.52037,1.64304,47.35607,68.94582,376.0688,492.37069,0.0003211154995947181,0.0005249167708400637
110.443234833,200.jpg,552648,1024x1024,2,8,0.64786,1.76204,49.93133,71.99578,442.1184,564.04551,0.00037736939657071644,0.0005502572661619633
111.476884625,201.jpg,639139,1024x1024,3,8,0.49943,2.00892,67.8364,102.95013,511.3112,682.09773,0.00043640423066871806,0.0007703591803275049
112.568841167,202.jpg,602757,1024x1024,3,8,0.49501,1.89821,74.45693,99.67594,482.2056,656.33847,0.0004115656934092801,0.0007854337571721524
113.663391792,203.jpg,658443,1024x1024,3,9,0.52382,2.16833,68.97013,99.62902,526.7544,695.35355,0.00044966895068728017,0.0007605054431758821
114.754026792,204.jpg,504221,1024x1024,2,8,0.66898,1.53808,48.88486,68.20261,403.3768,520.46427,0.00034424243693127987,0.0005284556490980089
115.776921667,205.jpg,715315,1024x1024,3,8,0.59419,1.44088,84.491,106.62163,572.252,763.36463,0.00048773073461000013,0.0008619241969130933
116.895428875,206.jpg,572668,1024x1024,3,9,0.49347,2.42904,74.0206,105.5054,458.1344,637.6604,0.00039155261585072245,0.0008097287218824029
117.9815905,207.jpg,542522,1024x1024,2,9,0.67088,0.91904,49.68116,71.45275,434.0176,555.1515,0.0003697657355627257,0.0005466840148121119
119.002914458,208.jpg,515659,1024x1024,2,8,0.68918,5.52554,52.382,69.03575,412.5272,533.94496,0.0003554117191387087,0.0005479627122908831
120.032158333,209.jpg,598282,1024x1024,3,9,0.51942,1.91208,69.21837,101.71235,478.6256,649.55631,0.0004085339174294376,0.0007710086798902601
121.122506875,210.jpg,458935,1024x1024,2,9,0.62089,1.84388,46.49053,69.00185,367.148,482.64038,0.00031370213245000497,0.000521270095410943
122.136855125,211.jpg,509705,1024x1024,2,8,0.67881,3.51096,48.1872,68.24819,407.764,524.19938,0.00034964951829328584,0.0005255181216429919
123.158058708,212.jpg,469875,1024x1024,3,8,0.44072,2.00229,71.55122,106.85816,375.9,554.30938,0.00032127741256672023,0.0008046985850933939
124.238228083,213.jpg,455080,1024x1024,2,9,0.65774,1.86387,45.56673,69.07039,364.064,478.70112,0.0003110972422099983,0.000517417275827378
125.26055725,214.jpg,571734,1024x1024,3,9,0.5697,2.26525,62.05211,99.75881,457.3872,619.19812,0.00039077812689199457,0.0007299258412938565
126.338416458,215.jpg,426791,1024x1024,2,8,0.50836,1.32029,54.41494,70.88597,341.4328,466.73371,0.00029139496869472225,0.0005654555429246276
